Temp_F,P_inHg,P_mmHg,
73,29.92,760.1,
73,29.95,761.0,
73,29.95,761.0,
81,29.97,767.0,
73,29.96,760.8,
73,29.95,761.0,
73,29.92,760.9,
73,29.92,760.0,
73,29.96,760.0,
73,29.94,761.0,
73,29.96,760.0,
73,29.95,761.0,
73,29.95,761.0,
79,29.97,760.9,
73,29.96,760.6,
73,29.95,760.6,
73,29.96,760.8,
73,29.98,761.0,
73,29.97,761.0,
73,29.60,760.0,
73,29.94,760.4,
73.2,29.93,761.1,
73.1,29.92,761.2,
73,29.93,760.3,
74.3,29.88,758.8,
73,29.95,760.5,
73.9,29.93,760.4,
73.2,29.88,758.8,
73,29.92,759.8,
73.4,29.89,760.27,
73.1,29.95,760.5,
73.5,29.92,760.2,
72.9,29.20,761.0,
73,29.94,760.2,
73.1,29.92,761.2,
73,29.90,761.5,
73.5,29.94,760.4,
73,29.96,760.5,
73.2,29.96,760.4,
73,29.94,761.3,
73,29.20,760.5,
73,29.20,760.6,
74,29.30,760.7,
74,29.40,760.3,
74,29.40,761.1,
73,29.30,760.4,
73,29.30,760.3,
73,29.80,760.6,
73,29.90,760.0,
73,29.10,760.5,
75,29.40,761.2,
74,29.20,760.0,
73,29.40,760.4,
73,29.94,760.1,
73,29.10,760.3,
73,29.94,760.1,
73,29.40,760.6,
74,29.70,759.2,
74,29.60,758.0,
73,29.20,759.8,
